id,keyword_en,slug,intent,cluster,priority,internal_links,status,publish_date,notes
1,how to play gomoku for absolute beginners,how-to-play-gomoku-for-absolute-beginners,informational,beginner-fundamentals,1,top-10-gomoku-openings;common-gomoku-mistakes;gomoku-vs-connect-four,published,2026-07-29,"Week-1 seed post. Cover objective, board, stones, taking turns, how 5-in-a-row wins. Link to game page + 3 related."
2,gomoku rules for kids explained,gomoku-rules-for-kids-explained,informational,beginner-fundamentals,2,top-10-gomoku-openings;gomoku-family-game-night;how-to-play-gomoku-for-absolute-beginners,planned,,"Simplify rules for children; safety, short games, winning."
3,gomoku board setup and basic rules,gomoku-board-setup-and-basic-rules,informational,beginner-fundamentals,2,how-to-play-gomoku-for-absolute-beginners;gomoku-vs-renju;top-10-gomoku-openings,planned,,"15x15 grid, who goes first, center start, win condition."
4,what is gomoku and how do you win,what-is-gomoku-and-how-do-you-win,informational,beginner-fundamentals,1,how-to-play-gomoku-for-absolute-beginners;gomoku-vs-connect-four;beat-gomoku-ai,planned,,"Define gomoku, origin one-liner, win rule, why it beats tic-tac-toe."
5,gomoku vs tic tac toe difference,gomoku-vs-tic-tac-toe-difference,comparison,beginner-fundamentals,2,gomoku-vs-connect-four;what-is-gomoku-and-how-do-you-win;how-to-play-gomoku-for-absolute-beginners,planned,,"Contrast board size, depth, strategy vs 3-in-a-row."
6,how many pieces to win gomoku,how-many-pieces-to-win-gomoku,informational,beginner-fundamentals,3,what-is-gomoku-and-how-do-you-win;gomoku-board-setup-and-basic-rules;common-gomoku-mistakes,planned,,"FAQ-style: exactly 5, open/closed, common misconception about 4."
7,gomoku winning combinations explained,gomoku-winning-combinations-explained,informational,beginner-fundamentals,2,pattern-recognition-gomoku;advanced-gomoku-strategy;what-is-gomoku-and-how-do-you-win,planned,,"Open four, four-three, three-three; visuals via ASCII."
8,gomoku terms glossary for new players,gomoku-terms-glossary-for-new-players,informational,beginner-fundamentals,3,gomoku-rules-for-kids-explained;gomoku-board-setup-and-basic-rules;pattern-recognition-gomoku,planned,,"Glossary: renju, pente, live/dead three, fork, vcf, mirror."
9,gomoku double threat fork strategy,gomoku-double-threat-fork-strategy,informational,strategy-depth,1,advanced-gomoku-strategy;pattern-recognition-gomoku;beat-gomoku-ai,planned,,"What a fork is, how to build two threats, why AI falls for it."
10,how to block in gomoku effectively,how-to-block-in-gomoku-effectively,informational,strategy-depth,2,common-gomoku-mistakes;advanced-gomoku-strategy;pattern-recognition-gomoku,planned,,"Defensive priorities, reading opponent threats, not over-blocking."
11,gomoku defense vs offense when to switch,gomoku-defense-vs-offense-when-to-switch,informational,strategy-depth,2,advanced-gomoku-strategy;gomoku-double-threat-fork-strategy;beat-gomoku-ai,planned,,"Tempo, when to attack vs shore up, balancing."
12,gomoku live three vs dead three explained,gomoku-live-three-vs-dead-three,informational,strategy-depth,2,pattern-recognition-gomoku;advanced-gomoku-strategy;gomoku-double-threat-fork-strategy,planned,,"Open vs closed three, why live three is a threat."
13,gomoku four in a row winning technique,gomoku-four-in-a-row-winning-technique,informational,strategy-depth,2,gomoku-winning-combinations-explained;pattern-recognition-gomoku;advanced-gomoku-strategy,planned,,"Forcing four, four-three, converting to win."
14,gomoku ladder attack tactic,gomoku-ladder-attack-tactic,informational,strategy-depth,3,advanced-gomoku-strategy;gomoku-double-threat-fork-strategy;gomoku-four-in-a-row-winning-technique,planned,,Step-by-step forcing sequence; diagrams.
15,gomoku center control why it matters,gomoku-center-control-why-it-matters,informational,strategy-depth,2,top-10-gomoku-openings;gomoku-board-setup-and-basic-rules;advanced-gomoku-strategy,planned,,Why center gives reach; edge disadvantage.
16,gomoku second player white strategy,gomoku-second-player-white-strategy,informational,strategy-depth,2,top-10-gomoku-openings;advanced-gomoku-strategy;gomoku-defense-vs-offense-when-to-switch,planned,,"Playing as white, mirror limits, pivot to offense."
17,gomoku endgame technique for winning,gomoku-endgame-technique-for-winning,informational,strategy-depth,2,advanced-gomoku-strategy;gomoku-four-in-a-row-winning-technique;gomoku-ladder-attack-tactic,planned,,"Converting advantages, zugzwang-like ideas, counting."
18,gomoku reading ahead how many moves,gomoku-reading-ahead-how-many-moves,informational,strategy-depth,2,beat-gomoku-ai;advanced-gomoku-strategy;gomoku-defense-vs-offense-when-to-switch,planned,,How far to look; tie to AI difficulty levels.
19,gomoku sacrifice tactic explained,gomoku-sacrifice-tactic-explained,informational,strategy-depth,3,advanced-gomoku-strategy;gomoku-double-threat-fork-strategy;gomoku-ladder-attack-tactic,planned,,When giving a stone creates a bigger threat.
20,gomoku vcf victory by continuous fours,gomoku-vcf-victory-by-continuous-fours,informational,strategy-depth,3,advanced-gomoku-strategy;gomoku-four-in-a-row-winning-technique;pattern-recognition-gomoku,planned,,"VCF definition, building consecutive fours, example."
21,gomoku breaking mirror opening as white,gomoku-breaking-mirror-opening-as-white,informational,strategy-depth,3,top-10-gomoku-openings;gomoku-second-player-white-strategy;gomoku-defense-vs-offense-when-to-switch,planned,,When/how to break symmetry as second player.
22,best way to practice gomoku against computer,best-way-to-practice-gomoku-against-computer,informational,ai-online,2,beat-gomoku-ai;how-to-improve-gomoku-game;gomoku-reading-ahead-how-many-moves,planned,,Use AI tiers as sparring; deliberate practice.
23,gomoku ai difficulty levels which to pick,gomoku-ai-difficulty-levels-which-to-pick,commercial,ai-online,1,beat-gomoku-ai;gomoku-reading-ahead-how-many-moves;trygomoku-features,planned,,Help readers choose easy/medium/hard/master; link game.
24,gomoku vs computer strategy that works,gomoku-vs-computer-strategy-that-works,informational,ai-online,2,beat-gomoku-ai;gomoku-defense-vs-offense-when-to-switch;best-way-to-practice-gomoku-against-computer,planned,,"Beating deterministic AI, forcing moves."
25,play gomoku online free no download,play-gomoku-online-free-no-download,transactional,ai-online,1,trygomoku-features;beat-gomoku-ai;what-is-gomoku-and-how-do-you-win,planned,,Target 'play free' intent; strong CTA to game.
26,gomoku multiplayer online with friends,gomoku-multiplayer-online-with-friends,transactional,ai-online,3,play-gomoku-online-free-no-download;gomoku-family-game-night;trygomoku-features,planned,,"Two-player online, share link, vs friends."
27,gomoku timed mode how to play fast,gomoku-timed-mode-how-to-play-fast,informational,ai-online,3,gomoku-vs-computer-strategy-that-works;beat-gomoku-ai;gomoku-reading-ahead-how-many-moves,planned,,"Blitz play, time pressure tactics."
28,gomoku daily puzzle for practice,gomoku-daily-puzzle-for-practice,informational,ai-online,3,best-way-to-practice-gomoku-against-computer;pattern-recognition-gomoku;how-to-improve-gomoku-game,planned,,"Puzzle habit, pattern drill; if no puzzle feature, frame as training."
29,gomoku analysis tool to review games,gomoku-analysis-tool-to-review-games,informational,ai-online,3,how-to-improve-gomoku-game;beat-gomoku-ai;best-way-to-practice-gomoku-against-computer,planned,,Reviewing games to improve; self-review method.
30,gomoku vs go difference,gomoku-vs-go-difference,comparison,comparisons,2,gomoku-vs-connect-four;what-is-gomoku-and-how-do-you-win;gomoku-history-journey,planned,,"Board, rules, complexity vs Go (Weiqi)."
